BioWare Version 5.3.2.9 Export
Device:	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	Mobile_2_BEZ 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA	mobile1 9286BA
Samples (#):	26204	26204	26204	26204	26204	26204	26204	26204
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0
Contact period end (sample #):	23851	23851	23851	23851	24593	24593	24593	24593
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	23.851000	23.851000	23.851000	23.851000	24.593000	24.593000	24.593000	24.593000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Jan 01, 1980  03:02:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	|Ft|	Fx	Fy	Fz	|Ft|
	N	N	N	N	N	N	N	N
0.000000	-55.963528	-4.435663	392.240005	396.237067	-62.595495	-7.694838	523.611298	527.395675
0.001000	-55.733612	-4.435508	391.388786	395.361975	-62.594877	-6.923724	520.880821	524.674076
0.002000	-55.887396	-4.128104	391.394310	395.385822	-61.981766	-6.306740	521.224068	524.934323
0.003000	-56.117813	-3.974402	391.050278	395.076353	-62.441984	-7.540397	519.190300	522.986067
0.004000	-56.270590	-4.435663	392.412224	396.451016	-61.828259	-7.694681	520.540970	524.256467
0.005000	-56.041681	-4.127949	392.927505	396.925351	-62.135277	-6.923568	520.550423	524.291399
0.006000	-56.117311	-4.051330	392.756256	396.765728	-61.828564	-7.694681	519.531281	523.253983
0.007000	-56.271597	-3.974247	393.609085	397.630984	-61.521545	-7.386579	519.874168	523.553830
0.008000	-56.271091	-4.051175	393.265533	397.291615	-62.287859	-7.540552	518.855385	522.635196
0.009000	-56.502016	-3.743925	394.459175	398.502868	-61.981459	-7.077853	516.474953	520.228963
0.010000	-56.423866	-3.820699	395.144836	399.171257	-61.981459	-6.769439	518.506836	522.242152
0.011000	-56.578655	-3.667152	393.782341	397.843090	-61.674440	-7.231982	517.489220	521.201622
0.012000	-56.501514	-3.897318	395.480698	399.515447	-61.981148	-6.615154	515.105774	518.863548
0.013000	-56.347731	-3.743925	394.629951	398.650075	-60.908131	-7.232294	515.449020	519.085541
0.014000	-56.962856	-3.897318	395.487747	399.587931	-61.367422	-7.540397	515.447128	519.142139
